Country_Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,AVG
Mauritius,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473,1264613,1.254558545
Morocco,31225881,31596855,31989897,32409639,32858823,33333789,33824769,34318082,34803322,35276786,35739580,33.39794755
Mozambique,22188387,22846758,23524063,24221405,24939005,25676606,26434372,27212382,28010691,28829476,29668834,25.77745264
Namibia,2079915,2106375,2137040,2173170,2215621,2263934,2316520,2370992,2425561,2479713,2533794,2.282057727
Niger,14668338,15228525,15813913,16425578,17064636,17731634,18426372,19148219,19896965,20672987,21477348,17.86859227
Nigeria,146417024,150347390,154402181,158578261,162877076,167297284,171829303,176460502,181181744,185989640,190886311,167.8424287
Rwanda,9447402,9708169,9977446,10246842,10516071,10788853,11065151,11345357,11629553,11917508,12208407,10.80461445
Sao Tome and Principe,163101,166913,170813,174776,178800,182889,187045,191266,195553,199910,204327,0.183217545
Senegal,11873557,12203957,12550917,12916229,13300910,13703513,14120320,14546111,14976994,15411614,15850567,13.76860809
Seychelles,85033,86956,87298,89770,87441,88303,89949,91359,93419,94677,95843,0.090004364
Sierra Leone,6015417,6165372,6310260,6458720,6611692,6766103,6922079,7079162,7237025,7396190,7557212,6.774475636
Somalia,11038596,11369276,11707990,12053223,12404725,12763776,13132349,13513125,13908129,14317996,14742523,12.81379164
South Africa,49887181,50412129,50970818,51584663,52263516,52998213,53767396,54539571,55291225,56015473,56717156,53.13157645
South Sudan,8856800,9263136,9670667,10067192,10448857,10818258,11177490,11530971,11882136,12230730,12575714,10.77472282
Sudan,32282526,32955496,33650619,34385963,35167314,35990192,36849918,37737913,38647803,39578828,40533330,36.16180927
Tanzania,41923715,43270144,44664231,46098591,47570902,49082997,50636595,52234869,53879957,55572201,57310019,49.29492918
Togo,5997385,6161796,6330472,6502952,6679282,6859482,7042948,7228915,7416802,7606374,7797694,6.874918364
Tunisia,10298087,10407336,10521834,10639931,10761467,10886668,11014558,11143908,11273661,11403248,11532127,10.89843864
Uganda,30590487,31663896,32771895,33915133,35093648,36306796,37553726,38833338,40144870,41487965,42862958,36.47497382
Zambia,12725974,13082517,13456417,13850033,14264756,14699937,15153210,15620974,16100587,16591390,17094130,14.78544773
Zimbabwe,13329909,13558469,13810599,14086317,14386649,14710826,15054506,15411675,15777451,16150362,16529904,14.80060609
