Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Bahamas, The",BHS,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bosnia and Herzegovina,BIH,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.666952383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belarus,BLR,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029287506,0.028955522,0.02151689,0.025991311,0.023938833,0.023339755,0.026018752,0.027082569,0.010651616,0.010582694,0.052833343,0.101184857,0.063810962,0.059121457,0.038890131,0.028734498,0.042309783,0.03321336,0.037262883,0.039187802,0.026133313,0.041116959,0.038960941,0.036628294,0.022401247,0.022579846,0.015976227,0.026325427,
Belize,BLZ,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bermuda,BMU,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Bolivia,BOL,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.003835754,0.003953548,0.072395248,0.124834352,0.167523445,0.327925283,0.28003188,0.096515776,0.104766855,0.403057627,0.801965651,0.489858488,0.227651178,0.652537478,0.531836026,0.6095377,0.811763163,0.526038178,0.548066226,0.717801504,0.835625745,0.703057621,0.611368418,0.6466306,0.537961404,0.525904427,0.540570875,0.5649863,0.428809068,0.414949397,0.799247133,1.257898763,1.433154005,1.698409927,2.408132335,3.642680239,4.144366678,4.133353264,3.884028792,3.440020767,2.872575676,3.986049223,4.625892696,4.853980906,3.418061473,2.132727884,1.201082153,1.524614482,
Brazil,BRA,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.000181558,0.000275311,0.000248466,0.000235858,0.00073065,0.001532151,0.001346158,0.000562043,0.000830619,0.003365518,0.006822689,0.004373689,0.002491064,0.012552084,0.012014217,0.014585527,0.013404861,0.00976734,0.009009029,0.008803872,0.00888065,0.006721363,0.009942975,0.012225877,0.008939856,0.007270721,0.008454678,0.00967064,0.008813838,0.017276951,0.023120959,0.02994838,0.035540407,0.034211907,0.034701832,0.034487938,0.036153014,0.030872245,0.036295408,0.033761282,0.02593937,0.038818283,0.054576225,0.062741518,0.049525341,0.044548902,0.027540268,0.039213171,
Barbados,BRB,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,8.78E-05,0.000475076,0.000692658,0.000329178,0.000486609,0.001804216,0.002553096,0.001856665,0.000735702,0.00185864,0.001173634,0.000935925,0.000655283,0.000285462,0.000326931,0.009730883,0.016653949,0.012884291,0.011088416,0.016630631,0.009999659,0.011398478,0.013904908,0.014349723,0.010850769,0.012010269,0.016908912,0.018344744,0.015507197,0.011998268,0.010139998,0.009994425,0.009766919,0.00767403,0.007316555,0.006699739,0.005004496,0.00638742,0.006521395,0.006041773,0.004000903,0.002408529,0.001406252,0.001872563,
Brunei Darussalam,BRN,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0,0,0.053587724,0.016627636,1.377226882,6.435100329,7.763977684,6.74194247,6.263324959,,7.748726968,3.195062315,0.363796246,2.224390548,2.630059555,3.546627248,8.177510261,5.130532309,4.000867043,4.478261932,6.130089551,3.48679532,2.309689362,2.866865878,3.604379129,3.764703785,4.26077164,4.088385863,3.280645614,3.948590496,5.64801298,5.839866764,5.358423334,6.489343794,6.884361142,6.214589742,7.085350159,6.92797002,7.29087887,8.361978698,5.880792731,5.970975728,5.797167486,5.642420899,6.435726352,11.17982309,7.772062715,9.009060001,
Bhutan,BTN,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
